replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211122,m2-470,IMG_3735.JPG,20211122_IMG_3735,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3735.JPG,FALSE,r,7.46260785182373,1.74988924751598,2,1.6359724068097
replicate_2,gen_3,20211122,m2-466,IMG_3685.JPG,20211122_IMG_3685,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3685.JPG,FALSE,r,7.82190741209208,1.96508980521123,2,1.96508980521123
replicate_2,gen_3,20211122,m2-469,IMG_3716.JPG,20211122_IMG_3716,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3716.JPG,FALSE,r,9.58055571942658,2.44724991642578,2,1.88091164729711
replicate_2,gen_3,20211123,m2-473,IMG_3771.JPG,20211123_IMG_3771,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3771.JPG,FALSE,r,4.88186035540179,2.65765057398962,2,2.53675892435918
replicate_2,gen_3,20211123,m2-474,IMG_3778.JPG,20211123_IMG_3778,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3778.JPG,TRUE,l,5.91681930206465,2.13369901897793,2,2.13369901897793
replicate_2,gen_3,20211122,m2-466,IMG_3681.JPG,20211122_IMG_3681,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3681.JPG,FALSE,r,8.46892626657859,1.65252299405458,2,1.41673865541948
replicate_2,gen_3,20211123,m2-476,IMG_3790.JPG,20211123_IMG_3790,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3790.JPG,TRUE,l,4.09996912073791,1.82984530485801,2,1.60273331274716
replicate_2,gen_3,20211122,m2-470,IMG_3729.JPG,20211122_IMG_3729,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3729.JPG,FALSE,l,8.01459061241637,1.49287375636546,2,1.36172218408353
replicate_2,gen_3,20211122,m2-472,IMG_3757.JPG,20211122_IMG_3757,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3757.JPG,TRUE,l,18.5364308342133,2.06019007391763,2,2.03695881731785
replicate_2,gen_3,20211123,m2-474,IMG_3775.JPG,20211123_IMG_3775,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3775.JPG,FALSE,r,6.92446132582951,2.26108918077776,2,2.10000894890177
